Date,Ticker,Close,High,Low,Open,Volume
2015-01-02,GC=F,1186.0,1194.5,1169.5,1184.0,138
2015-01-05,GC=F,1203.9000244140625,1206.9000244140625,1180.0999755859375,1180.300048828125,470
2015-01-06,GC=F,1219.300048828125,1220.0,1203.5,1203.5,97
2015-01-07,GC=F,1210.5999755859375,1219.199951171875,1210.5999755859375,1219.199951171875,29
2015-01-08,GC=F,1208.4000244140625,1215.699951171875,1206.300048828125,1207.0,92
2015-01-09,GC=F,1216.0,1220.199951171875,1210.300048828125,1211.0999755859375,43
2015-01-12,GC=F,1232.699951171875,1234.4000244140625,1219.0999755859375,1224.199951171875,100
2015-01-13,GC=F,1234.300048828125,1239.300048828125,1230.300048828125,1239.199951171875,20
2015-01-14,GC=F,1234.4000244140625,1243.800048828125,1225.5999755859375,1229.5999755859375,21
2015-01-15,GC=F,1264.699951171875,1265.0,1227.300048828125,1231.5,130
2015-01-16,GC=F,1276.9000244140625,1279.699951171875,1256.0999755859375,1256.0999755859375,44
2015-01-20,GC=F,1294.199951171875,1297.300048828125,1273.800048828125,1278.9000244140625,157
2015-01-21,GC=F,1293.699951171875,1303.5,1286.699951171875,1295.199951171875,78
2015-01-22,GC=F,1300.699951171875,1302.0999755859375,1283.5,1293.199951171875,131
2015-01-23,GC=F,1292.5999755859375,1299.800048828125,1292.5999755859375,1299.800048828125,23
2015-01-26,GC=F,1279.4000244140625,1290.5999755859375,1279.4000244140625,1289.5,26
2015-01-27,GC=F,1291.699951171875,1291.699951171875,1277.199951171875,1277.199951171875,20
2015-01-28,GC=F,1285.9000244140625,1286.800048828125,1285.9000244140625,1285.9000244140625,180387
2015-01-29,GC=F,1254.5999755859375,1285.4000244140625,1251.0,1283.300048828125,67983
2015-01-30,GC=F,1278.5,1284.300048828125,1257.0,1258.0,8626
2015-02-02,GC=F,1276.199951171875,1284.0999755859375,1266.0,1284.0999755859375,1654
2015-02-03,GC=F,1259.699951171875,1284.699951171875,1255.300048828125,1273.5,2380
2015-02-04,GC=F,1263.800048828125,1271.5999755859375,1256.800048828125,1262.0,668
2015-02-05,GC=F,1262.0,1272.5999755859375,1257.800048828125,1271.800048828125,133
2015-02-06,GC=F,1233.9000244140625,1267.5999755859375,1228.0,1265.0,432
2015-02-09,GC=F,1240.800048828125,1242.300048828125,1235.4000244140625,1237.5,319
2015-02-10,GC=F,1231.5999755859375,1245.0,1231.199951171875,1237.5,231
2015-02-11,GC=F,1219.0,1237.4000244140625,1219.0,1233.300048828125,102
2015-02-12,GC=F,1220.0999755859375,1229.800048828125,1217.9000244140625,1217.9000244140625,99
2015-02-13,GC=F,1226.5,1232.800048828125,1222.199951171875,1222.199951171875,65
2015-02-17,GC=F,1208.0999755859375,1234.0,1203.0,1227.699951171875,204
2015-02-18,GC=F,1199.699951171875,1210.199951171875,1197.800048828125,1207.0999755859375,147
2015-02-19,GC=F,1207.0999755859375,1220.0,1205.0,1216.5,65
2015-02-20,GC=F,1204.4000244140625,1213.0999755859375,1199.0999755859375,1206.5,51
2015-02-23,GC=F,1200.300048828125,1203.300048828125,1191.5999755859375,1201.300048828125,268
2015-02-24,GC=F,1196.9000244140625,1203.5,1193.800048828125,1203.4000244140625,151
2015-02-25,GC=F,1201.0,1204.5999755859375,1201.0,1204.300048828125,570
2015-02-26,GC=F,1209.5999755859375,1219.0,1204.800048828125,1204.800048828125,560
2015-02-27,GC=F,1212.5999755859375,1217.800048828125,1204.5,1207.699951171875,195
2015-03-02,GC=F,1207.699951171875,1222.699951171875,1204.9000244140625,1214.300048828125,124
2015-03-03,GC=F,1204.0,1212.0,1195.0,1201.5,51
2015-03-04,GC=F,1200.5999755859375,1206.9000244140625,1198.0,1204.800048828125,27
2015-03-05,GC=F,1195.9000244140625,1205.4000244140625,1195.9000244140625,1201.699951171875,29
2015-03-06,GC=F,1164.0999755859375,1195.699951171875,1163.699951171875,1195.0,168
2015-03-09,GC=F,1166.4000244140625,1174.199951171875,1166.300048828125,1169.4000244140625,45
2015-03-10,GC=F,1160.0999755859375,1168.4000244140625,1156.5,1166.4000244140625,94
2015-03-11,GC=F,1150.699951171875,1162.0,1147.699951171875,1162.0,74
2015-03-12,GC=F,1152.0999755859375,1160.5,1149.699951171875,1155.4000244140625,63
2015-03-13,GC=F,1152.5999755859375,1159.199951171875,1152.5999755859375,1158.199951171875,44
2015-03-16,GC=F,1153.300048828125,1162.300048828125,1150.0999755859375,1159.699951171875,56
2015-03-17,GC=F,1148.300048828125,1158.199951171875,1144.300048828125,1153.5999755859375,71
2015-03-18,GC=F,1151.4000244140625,1174.300048828125,1147.0,1148.699951171875,112
2015-03-19,GC=F,1169.0999755859375,1171.5999755859375,1159.300048828125,1171.5999755859375,39
2015-03-20,GC=F,1184.800048828125,1185.4000244140625,1171.0,1171.0,54
2015-03-23,GC=F,1188.0,1188.0,1181.199951171875,1181.5999755859375,5
2015-03-24,GC=F,1191.699951171875,1193.0,1186.0,1188.0,411
2015-03-25,GC=F,1197.300048828125,1199.199951171875,1192.5,1192.5,11
2015-03-26,GC=F,1205.0999755859375,1213.699951171875,1198.199951171875,1198.199951171875,68
2015-03-27,GC=F,1199.800048828125,1199.800048828125,1196.300048828125,1197.0,172260
2015-03-30,GC=F,1184.800048828125,1198.5,1181.5999755859375,1198.0,37990
2015-03-31,GC=F,1183.0999755859375,1190.0999755859375,1178.199951171875,1185.800048828125,3409
2015-04-01,GC=F,1208.0999755859375,1208.199951171875,1181.0,1182.9000244140625,1632
2015-04-02,GC=F,1200.9000244140625,1205.699951171875,1194.800048828125,1204.0,1684
2015-04-06,GC=F,1218.5999755859375,1224.199951171875,1209.9000244140625,1209.9000244140625,343
2015-04-07,GC=F,1210.5999755859375,1214.800048828125,1208.199951171875,1214.800048828125,406
2015-04-08,GC=F,1203.0999755859375,1211.4000244140625,1197.5999755859375,1208.9000244140625,236
2015-04-09,GC=F,1193.5999755859375,1202.5,1193.0,1201.699951171875,521
2015-04-10,GC=F,1204.5999755859375,1209.5999755859375,1195.800048828125,1195.800048828125,202
2015-04-13,GC=F,1199.300048828125,1208.0999755859375,1198.300048828125,1208.0999755859375,424
2015-04-14,GC=F,1192.800048828125,1200.5999755859375,1184.0999755859375,1198.800048828125,546
2015-04-15,GC=F,1201.5,1203.0999755859375,1188.5999755859375,1194.5999755859375,196
2015-04-16,GC=F,1198.0,1208.5,1194.5999755859375,1204.300048828125,199
2015-04-17,GC=F,1202.9000244140625,1206.0,1200.199951171875,1200.199951171875,21
2015-04-20,GC=F,1193.5,1206.9000244140625,1191.0,1205.699951171875,67
2015-04-21,GC=F,1202.9000244140625,1202.9000244140625,1192.800048828125,1193.199951171875,33
2015-04-22,GC=F,1186.9000244140625,1202.5999755859375,1185.199951171875,1199.0999755859375,93
2015-04-23,GC=F,1194.4000244140625,1197.0,1186.0999755859375,1187.199951171875,331
2015-04-24,GC=F,1175.199951171875,1194.699951171875,1174.5999755859375,1192.300048828125,52
2015-04-27,GC=F,1203.300048828125,1206.699951171875,1181.4000244140625,1182.300048828125,194
2015-04-28,GC=F,1214.0,1214.0,1199.699951171875,1199.699951171875,401
2015-04-29,GC=F,1209.800048828125,1212.5999755859375,1201.9000244140625,1211.199951171875,114
