Stock,MSE,RMSE,MAE,R2
AMZN_Close,1.4348269036483142E-5,0.003787910906618996,0.003100855757150856,0.9989620504066441
NVDA_Close,1.0623522268339251E-5,0.0032593745210299555,0.0023267689441833603,0.9998390453284149
JPM_Close,1.8035611272653923E-5,0.004246835442144412,0.003518661787014394,0.9987670913383045
V_Close,1.1011221805440573E-5,0.003318316109932954,0.002504144954815091,0.9987577482687727
XOM_Close,2.12540580670131E-5,0.004610212366801892,0.0035549210729764543,0.9984740007962138
